Training,Target,Testing
Saturday Night (Is The Loneliest Night Of The Week),0,Hello
"Day In, Day Out",0,Hello
Cheek To Cheek,0,Hello
"Baubles, Bangles And Beads",0,Hello
The Song Is You,0,Hello
The Last Dance,0,Hello
It All Depends On You[CD Reissue Bonus Track],0,Hello
Nothing In Common[CD Reissue Bonus Track],0,Hello
Same Old Song And Dance[CD Reissue Bonus Track],0,Hello
How Are Ya' Fixed For Love?[CD Reissue Bonus Track],0,Hello
Look To Your Heart,0,Hello
Anytime-Anywhere,0,Hello
Not As A Stranger,0,Hello
Our Town,0,Hello
"You, My Love",0,Hello
Same Old Saturday Night,0,Hello
Fairy Tale,0,Hello
The Impatient Years,0,Hello
I Could Have Told You,0,Hello
When I Stop Loving You,0,Hello
If I Had Three Wishes,0,Hello
I'm Gonna Live Till I Die,0,Hello
When No One Cares,0,Hello
A Cottage For Sale,0,Hello
Stormy Weather,0,Hello
Where Do You Go?,0,Hello
(I Don't Stand) A Ghost Of A Chance With You,0,Hello
Here's That Rainy Day,0,Hello
I Can't Get Started,0,Hello
Why Try To Change Me Now?,0,Hello
Just Friends,0,Hello
I'll Never Smile Again,0,Hello
None But The Lonely Heart,0,Hello
The One I Love (Belongs To Somebody Else)[CD Reissue Bonus Track],0,Hello
This Was My Love[CD Reissue Bonus Track],0,Hello
I Could Have Told You[CD Reissue Bonus Track],0,Hello
You Forgot All The Words (While I Still Remember The Tune)[CD Reissue Bonus Track],0,Hello
Nice 'n' Easy,0,Hello
That Old Feeling,0,Hello
How Deep Is The Ocean?,0,Hello
I've Got A Crush On You,0,Hello
You Go To My Head,0,Hello
Fools Rush In,0,Hello
Nevertheless,0,Hello
She's Funny That Way,0,Hello
Try A Little Tenderness,0,Hello
Embraceable You,0,Hello
Mam'selle,0,Hello
Dream,0,Hello
The Nearness Of You[CD Reissue Bonus Track],0,Hello
Someone To Watch Over Me[CD Reissue Bonus Track],0,Hello
"Day In, Day Out[CD Reissue Bonus Track]",0,Hello
My One And Only Love[CD Reissue Bonus Track],0,Hello
When You're Smiling,0,Hello
Blue Moon,0,Hello
S'posin',0,Hello
It All Depends On You,0,Hello
It's Only A Paper Moon,0,Hello
My Blue Heaven,0,Hello
Should I?,0,Hello
September In The Rain,0,Hello
Always,0,Hello
I Can't Believe That You're In Love With Me,0,Hello
I Concentrate On You,0,Hello
You Do Something To Me,0,Hello
Sentimental Baby[CD Reissue Bonus Track],0,Hello
Hidden Persuasion[CD Reissue Bonus Track],0,Hello
Ol' McDonald[CD Reissue Bonus Track],0,Hello
Day By Day,0,Hello
Sentimental Journey,0,Hello
Almost Like Being In Love,0,Hello
Five Minutes More,0,Hello
American Beauty Rose,0,Hello
Yes Indeed,0,Hello
On The Sunny Side Of The Street,0,Hello
Don't Take Your Love From Me,0,Hello
That Old Black Magic,0,Hello
Lover,0,Hello
Paper Doll,0,Hello
I've Heard That Song Before,0,Hello
I Love You[CD Reissue Bonus Track],0,Hello
Why Should I Cry Over You[CD Reissue Bonus Track],0,Hello
How Could You Do A Thing Like That To Me[CD Reissue Bonus Track],0,Hello
"River, Stay 'Way From My Door[CD Reissue Bonus Track]",0,Hello
I Gotta Right To Sing The Blues[CD Reissue Bonus Track],0,Hello
"(Ah, The Apple Trees) When The World Was Young",0,Hello
I'll Remember April,0,Hello
September Song,0,Hello
A Million Dreams Ago,0,Hello
I'll See You Again,0,Hello
There Will Never Be Another You,0,Hello
Somewhere Along The Way,0,Hello
It's A Blue World,0,Hello
These Foolish Things (Remind Me Of You),0,Hello
As Time Goes By,0,Hello
I'll Be Seeing You,0,Hello
Memories Of You,0,Hello
"Day In, Day Out[CD Reissue Bonus Track]",0,Hello
Don't Make A Beggar Of Me[CD Reissue Bonus Track],0,Hello
Lean Baby[CD Reissue Bonus Track],0,Hello
I'm Walking Behind You[CD Reissue Bonus Track],0,Hello
Ring-A-Ding Ding,0,Hello
Let's Fall In Love,0,Hello
In The Still Of The Night,0,Hello
A Foggy Day,0,Hello
Let's Face The Music And Dance,0,Hello
You'd Be So Easy To Love,0,Hello
A Fine Romance,0,Hello
The Coffee Song,0,Hello
"Be Careful, It's My Heart",0,Hello
I've Got My Love To Keep Me Warm,0,Hello
Zing! Went The Strings Of My Heart,0,Hello
You And The Night And The Music,0,Hello
When I Take My Sugar To Tea,0,Hello
The Last Dance,0,Hello
The Second Time Around,0,Hello
Tina,0,Hello
In The Blue Of Evening,0,Hello
I'll Be Seeing You,0,Hello
I'm Getting Sentimental Over You,0,Hello
Imagination,0,Hello
Take Me,0,Hello
Without A Song,0,Hello
Polka Dots And Moonbeams,0,Hello
Daybreak,0,Hello
The One I Love (Belongs To Somebody Else),0,Hello
There Are Such Things,0,Hello
It's Always You,0,Hello
It Started All Over Again,0,Hello
East Of The Sun (And West Of The Moon),0,Hello
The Curse Of An Aching Heart,0,Hello
Love Walked In,0,Hello
Please Don't Talk About Me When I'm Gone,0,Hello
Have You Met Miss Jones?,0,Hello
Don't Be That Way,0,Hello
I Never Knew,0,Hello
Falling In Love With Love,0,Hello
It's A Wonderful World,0,Hello
Don't Cry Joe,0,Hello
You're Nobody 'Til Somebody Loves You,0,Hello
Moonlight On The Ganges,0,Hello
Granada,0,Hello
As You Desire Me,0,Hello
Stardust,0,Hello
Yesterdays,0,Hello
I Hadn't Anyone Till You,0,Hello
It Might As Well Be Spring,0,Hello
Prisoner Of Love,0,Hello
That's All,0,Hello
Don't Take Your Love From Me,0,Hello
Misty,0,Hello
Come Rain Or Come Shine,0,Hello
Night And Day,0,Hello
All Or Nothing At All,0,Hello
Pocketful Of Miracles,0,Hello
Name It And It's Yours,0,Hello
The Song Is Ended,0,Hello
All Alone,0,Hello
Charmaine,0,Hello
When I Lost You,0,Hello
Remember,0,Hello
Together,0,Hello
The Girl Next Door,0,Hello
Indiscreet,0,Hello
What'll I Do?,0,Hello
"Oh, How I Miss You Tonight",0,Hello
Are You Lonesome Tonight?,0,Hello
Come Waltz With Me,0,Hello
Everybody's Twistin',0,Hello
Nothing But The Best,0,Hello
The Boys' Night Out,0,Hello
Can't We Be Friends?,0,Hello
Isn't This A Lovely Day?,0,Hello
Moonlight In Vermont,0,Hello
They Can't Take That Away From Me,0,Hello
Under A Blanket Of Blue,0,Hello
Tenderly,0,Hello
A Foggy Day,0,Hello
Stars Fell On Alabama,0,Hello
Cheek To Cheek,0,Hello
The Nearness Of You,0,Hello
April In Paris,0,Hello
Don't Be That Way,0,Hello
Makin' Whoopee,0,Hello
They All Laughed,0,Hello
Comes Love,0,Hello
Autumn In New York,0,Hello
Let's Do It (Let's Fall In Love),0,Hello
Stompin' At The Savoy,0,Hello
I Won't Dance,0,Hello
"Gee, Baby, Ain't I Good To You?",0,Hello
Let's Call The Whole Thing Off,0,Hello
These Foolish Things,0,Hello
I've Got My Love To Keep Me Warm,0,Hello
Willow Weep For Me,0,Hello
I'm Putting All My Eggs In One Basket,0,Hello
A Fine Romance,0,Hello
Ill Wind (You're Blowin' Me No Good),0,Hello
Love Is Here To Stay,0,Hello
I Get A Kick Out Of You,0,Hello
Learnin' The Blues,0,Hello
You Won't Be Satisfied (Until You Break My Heart),0,Hello
Undecided,0,Hello
Summertime,0,Hello
I Wants To Stay Here,0,Hello
My Man's Gone Now,0,Hello
I Got Plenty O' Nuttin',0,Hello
The Buzzard Song,0,Hello
"Bess, You Is My Woman Now",0,Hello
It Ain't Necessarily So,0,Hello
What You Want Wid Bess?,0,Hello
A Woman Is A Sometime Thing,0,Hello
"Oh, Doctor Jesus",0,Hello
There's A Boat Dat's Leavin' Soon For New York,0,Hello
"Bess, Oh Where's My Bess?",0,Hello
"Oh Lawd, I'm On My Way=",0,Hello
All Through The Night,0,Hello
Anything Goes,0,Hello
Miss Otis Regrets (She's Unable To Have Lunch Today),0,Hello
Too Darn Hot,0,Hello
In The Still Of The Night,0,Hello
I Get A Kick Out Of You,0,Hello
Do I Love You?,0,Hello
(I'm) Always True To You In My Fashion,0,Hello
Let's Do It (Let's Fall In Love),0,Hello
Just One Of Those Things,0,Hello
Ev'ry Time We Say Goodbye,0,Hello
All Of You,0,Hello
Begin The Beguine,0,Hello
Get Out Of Town,0,Hello
I Am In Love,0,Hello
From This Moment On,0,Hello
I Love Paris,0,Hello
You Do Something To Me,0,Hello
Ridin' High,0,Hello
Easy To Love,0,Hello
It's All Right With Me,0,Hello
Why Can't You Behave?,0,Hello
What Is This Thing Called Love?,0,Hello
You're The Top,0,Hello
Love For Sale,0,Hello
It's De-Lovely,0,Hello
Night And Day,0,Hello
Ace In The Hole,0,Hello
So In Love,0,Hello
I've Got You Under My Skin,0,Hello
I Concentrate On You,0,Hello
Don't Fence Me In,0,Hello
You're The Top,0,Hello
I Concentrate On You,0,Hello
Let's Do It (Let's Fall In Love),0,Hello
Have You Met Miss Jones?,0,Hello
You Took Advantage Of Me,0,Hello
A Ship Without A Sail,0,Hello
To Keep My Love Alive,0,Hello
Dancing On The Ceiling,0,Hello
The Lady Is A Tramp,0,Hello
With A Song In My Heart,0,Hello
Manhattan,0,Hello
Johnny One Note,0,Hello
I Wish I Were In Love Again,0,Hello
Spring Is Here,0,Hello
It Never Entered My Mind,0,Hello
This Can't Be Love,0,Hello
Thou Swell,0,Hello
My Romance,0,Hello
Where Or When,0,Hello
Little Girl Blue,0,Hello
Give It Back To The Indians,0,Hello
Ten Cents A Dance,0,Hello
There's A Small Hotel,0,Hello
I Didn't Know What Time It Was,0,Hello
Ev'rything I've Got,0,Hello
I Could Write A Book,0,Hello
Blue Room,0,Hello
My Funny Valentine,0,Hello
Bewitched,0,Hello
Mountain Greenery,0,Hello
Wait Till You See Her,0,Hello
Lover,0,Hello
Isn't It Romantic?,0,Hello
Here In My Arms,0,Hello
Blue Moon,0,Hello
My Heart Stood Still,0,Hello
I've Got Five Dollars,0,Hello
Lover,0,Hello
Drop Me Off In Harlem,0,Hello
Day Dream,0,Hello
Caravan,0,Hello
Take The 'A' Train,0,Hello
I Ain't Got Nothin' But The Blues,0,Hello
I Didn't Know About You,0,Hello
I'm Beginning To See The Light,0,Hello
Lost In Meditation,0,Hello
Perdido,0,Hello
Cotton Tail,0,Hello
Do Nothin' Till You Hear From Me,0,Hello
Just A-Sittin' And A-Rockin',0,Hello
Solitude,0,Hello
Rocks In My Bed,0,Hello
Satin Doll,0,Hello
Sophisticated Lady,0,Hello
Just Squeeze Me (But Don't Tease Me),0,Hello
It Don't Mean A Thing (If It Ain't Got That Swing),0,Hello
Azure,0,Hello
I Let A Song Go Out Of My Heart,0,Hello
In A Sentimental Mood,0,Hello
Don't Get Around Much Anymore,0,Hello
Prelude To A Kiss,0,Hello
Mood Indigo,0,Hello
In A Mellow Tone,0,Hello
Love You Madly,0,Hello
Lush Life,0,Hello
Squatty Roo,0,Hello
I'm Just A Lucky So And So,0,Hello
All Too Soon,0,Hello
Everything But You,0,Hello
I Got It Bad (And That Ain't Good),0,Hello
Bli-Blip,0,Hello
Let's Face The Music And Dance,0,Hello
You're Laughing At Me,0,Hello
Let Yourself Go,0,Hello
You Can Have Him,0,Hello
Russian Lullaby,0,Hello
Puttin' On The Ritz,0,Hello
Get Thee Behind Me Satan,0,Hello
Alexander's Ragtime Band,0,Hello
"Top Hat, White Tie, And Tails",0,Hello
How About Me?,0,Hello
Cheek To Cheek,0,Hello
I Used To Be Color Blind,0,Hello
Lazy,0,Hello
How Deep Is The Ocean?,0,Hello
All By Myself,0,Hello
Remember,0,Hello
Suppertime,0,Hello
How's Chances,0,Hello
Heat Wave,0,Hello
Isn't This A Lovely Day?,0,Hello
You Keep Coming Back Like A Song,0,Hello
Reaching For The Moon,0,Hello
Slumming On Park Avenue,0,Hello
The Song Is Ended (But The Melody Lingers On),0,Hello
I'm Putting All My Eggs In One Basket,0,Hello
Now It Can Be Told,0,Hello
Always,0,Hello
It's A Lovely Day Today,0,Hello
Change Partners,0,Hello
No Strings (I'm Fancy Free),0,Hello
I've Got My Love To Keep Me Warm,0,Hello
Blue Skies,0,Hello
Sam And Delilah,0,Hello
But Not For Me,0,Hello
My One And Only,0,Hello
Let's Call The Whole Thing Off,0,Hello
(I've Got) Beginner's Luck,0,Hello
"Oh, Lady Be Good",0,Hello
Nice Work If You Can Get It,0,Hello
Things Are Looking Up,0,Hello
Just Another Rhumba,0,Hello
How Long Has This Been Going On?,0,Hello
S Wonderful,0,Hello
The Man I Love,0,Hello
That Certain Feeling,0,Hello
By Strauss,0,Hello
Someone To Watch Over Me,0,Hello
The Real American Folk Song,0,Hello
Who Cares?,0,Hello
Looking For A Boy,0,Hello
They All Laughed,0,Hello
My Cousin In Milwaukee,0,Hello
Somebody From Somewhere,0,Hello
A Foggy Day,0,Hello
Clap Yo' Hands,0,Hello
"For You, For Me, For Evermore",0,Hello
Stiff Upper Lip,0,Hello
Boy Wanted,0,Hello
Strike Up The Band,0,Hello
Soon,0,Hello
I've Got A Crush On You,0,Hello
Bidin' My Time,0,Hello
Aren't You Kind Of Glad We Did?,0,Hello
Of Thee I Sing (Baby),0,Hello
The Half Of It Dearie Blues,0,Hello
I Was Doing All Right,0,Hello
He Loves And She Loves,0,Hello
Love Is Sweeping The Country,0,Hello
Treat Me Rough,0,Hello
Our Love Is Here To Stay,0,Hello
Slap That Bass,0,Hello
Isn't It A Pity,0,Hello
Shall We Dance?,0,Hello
Love Walked In,0,Hello
You've Got What Gets Me,0,Hello
They Can't Take That Away From Me,0,Hello
Embraceable You,0,Hello
I Can't Be Bothered Now,0,Hello
Boy! What Love Has Done To Me,0,Hello
Fascinating Rhythm,0,Hello
Funny Face,0,Hello
Lorelei,0,Hello
"Oh, So Nice",0,Hello
Let's Kiss And Make Up,0,Hello
I Got Rhythm,0,Hello
Somebody Loves Me,0,Hello
Cheerful Little Earful,0,Hello
But Not For Me,0,Hello
Blues In The Night,0,Hello
Let's Fall In Love,0,Hello
Stormy Weather (Keeps Rainin' All The Time),0,Hello
Between The Devil And The Deep Blue Sea,0,Hello
My Shining Hour,0,Hello
Hooray For Love,0,Hello
This Time The Dream's On Me,0,Hello
That Old Black Magic,0,Hello
I've Got The World On A String,0,Hello
Let's Take A Walk Around The Block,0,Hello
Ill Wind (You're Blowin' Me No Good),0,Hello
Ac-Cent-Tchu-Ate The Positive,0,Hello
When The Sun Comes Out,0,Hello
Come Rain Or Come Shine,0,Hello
As Long As I Live,0,Hello
Happiness Is A Thing Called Joe,0,Hello
It's Only A Paper Moon,0,Hello
The Man That Got Away,0,Hello
One For My Baby (And One More For The Road),0,Hello
It Was Written In The Stars,0,Hello
Get Happy,0,Hello
I Gotta Right To Sing The Blues,0,Hello
Out Of This World,0,Hello
Over The Rainbow,0,Hello
Ding-Dong! The Witch Is Dead,0,Hello
Sing My Heart,0,Hello
Let's Take A Walk Around The Block,0,Hello
Sing My Heart,0,Hello
Let's Begin,0,Hello
A Fine Romance,0,Hello
All The Things You Are,0,Hello
I'll Be Hard To Handle,0,Hello
You Couldn't Be Cuter,0,Hello
She Didn't Say Yes,0,Hello
I'm Old Fashioned,0,Hello
Remind Me,0,Hello
The Way You Look Tonight,0,Hello
Yesterdays,0,Hello
Can't Help Lovin' Dat Man,0,Hello
Why Was I Born?,0,Hello
Too Marvelous For Words,0,Hello
Early Autumn,0,Hello
Ooooh...,0,Hello
"Lord, dear Lord above, God almighty,",0,Hello
"God of love, Please look down and see my people through.",0,Hello
I believe that God put sun and moon up in the sky.,0,Hello
I don't mind the gray skies,0,Hello
'cause they're just clouds passing by.,0,Hello
Heaven is a goodness time. A brighter light on high.,0,Hello
Do unto others as you would have them do to you.,0,Hello
And have a brighter by and by.,0,Hello
"Lord, dear Lord above, God almighty,",0,Hello
"God of love, Please look down and see my people through.",0,Hello
"I believe God is now, was then and always will be.",0,Hello
With God's blessing we can make it through eternity.,0,Hello
"Lord, dear Lord above, God almighty,",0,Hello
"God of love, Please look down and see my people through.",0,Hello
They say into your early life romance came,0,Hello
And in this heart of yours burned a flame,0,Hello
A flame that flickered one day and died away,0,Hello
"Then, with disillusion deep in your eyes",0,Hello
You learned that fools in love soon grow wise,0,Hello
"The years have changed you, somehow",0,Hello
I see you now,0,Hello
"Smoking, drinking, never thinking of tomorrow, nonchalant",0,Hello
"Diamonds shining, dancing, dining with some man in a restaurant",0,Hello
Is that all you really want?,0,Hello
"No, sophisticated lady,",0,Hello
"I know, you miss the love you lost long ago",0,Hello
And when nobody is nigh you cry,0,Hello
"Smoking, drinking, never thinking of tomorrow, nonchalant",0,Hello
"Diamonds shining, dancing, dining with some man in a restaurant",0,Hello
Is that all you really want?,0,Hello
"No, sophisticated lady,",0,Hello
"I know, you miss the love you lost long ago",0,Hello
And when nobody is nigh you cry,0,Hello
Sophisticated lady,0,Hello
You cry,0,Hello
"Hurry, hurry, hurry",0,Hello
Take the A train,0,Hello
To get to Sugar Hill way up in Harlem,0,Hello
If you should take the A train,0,Hello
You'll get to where you're going in a hurry,0,Hello
"Hurry, hurry, hurry",0,Hello
Now it's goin',0,Hello
Can you hear the rails a hummin' (boo de ahh dah),0,Hello
If you should miss the A train,0,Hello
You'll miss the quickest way to get to Harlem,0,Hello
Do Nothing Till You Hear From Me,0,Hello
Cheek To Cheek,0,Hello
Ill Wind,0,Hello
Speak Low,0,Hello
We'll Be Together Again,0,Hello
All Or Nothing At All,0,Hello
Sophisticated Lady,0,Hello
April In Paris,0,Hello
I Wished On The Moon,0,Hello
But Not For Me,0,Hello
Say It Isn't So,0,Hello
Our Love Is Here To Stay,0,Hello
I'm A Fool To Want You,0,Hello
For Heaven's Sake,0,Hello
You Don't Know What Love Is,0,Hello
I Get Along Without You Very Well,0,Hello
For All We Know,0,Hello
Violets For Your Furs,0,Hello
You've Changed,0,Hello
It's Easy To Remember,0,Hello
But Beautiful,0,Hello
Glad To Be Unhappy,0,Hello
I'll Be Around,0,Hello
The End Of A Love Affair,0,Hello
All Of You,0,Hello
Sometimes I'm Happy,0,Hello
You Took Advantage Of Me,0,Hello
When It's Sleepy Time Down South,0,Hello
There'll Be Some Changes Made,0,Hello
Deed I Do,0,Hello
Don't Worry 'Bout Me,0,Hello
All The Way,0,Hello
Just One More Chance,0,Hello
It's Not For Me To Say,0,Hello
I'll Never Smile Again,0,Hello
Baby Won't You Please Come Home,0,Hello
Your Mother's Son-In-Law,0,Hello
Riffin' The Scotch,0,Hello
I Wished On The Moon,0,Hello
What A Little Moonlight Can Do,0,Hello
Miss Brown To You,0,Hello
A Sunbonnet Blue (And A Yellow Straw Hat),0,Hello
"What A Night, What A Moon, What A Girl",0,Hello
I'm Painting The Town Red,0,Hello
It's Too Hot For Words,0,Hello
Twenty-Four Hours A Day,0,Hello
Yankee Doodle Never Went To Town,0,Hello
Eeny Meeny Meiny Mo,0,Hello
If You Were Mine,0,Hello
These 'n' That 'n' Those,0,Hello
You Let Me Down,0,Hello
Spreadin' Rhythm Around,0,Hello
Life Begins When You're In Love,0,Hello
It's Like Reaching For The Moon,0,Hello
These Foolish Things,0,Hello
I Cried For You,0,Hello
Guess Who,0,Hello
Did I Remember?,0,Hello
No Regrets,0,Hello
Summertime,0,Hello
Billie's Blues,0,Hello
A Fine Romance,0,Hello
I Can't Pretend,0,Hello
"One, Two, Button Your Shoe",0,Hello
Let's Call A Heart A Heart,0,Hello
Easy To Love,0,Hello
With Thee I Swing,0,Hello
The Way You Look Tonight,0,Hello
Born To Love,0,Hello
Without Your Love,0,Hello
Getting Some Fun Out Of Life,0,Hello
Who Wants Love?,0,Hello
Trav'lin' All Alone,0,Hello
He's Funny That Way,0,Hello
Nice Work If You Can Get It,0,Hello
Things Are Looking Up,0,Hello
My Man,0,Hello
Can't Help Lovin' Dat Man,0,Hello
My First Impression Of You,0,Hello
When You're Smiling (The Whole World Smiles With You),0,Hello
Can't Believe That You're In Love With Me,0,Hello
If Dreams Come True,0,Hello
Now They Call It Swing,0,Hello
On The Sentimental Side,0,Hello
Back In Your Own Backyard,0,Hello
When A Woman Loves A Man,0,Hello
You're So Desirable,0,Hello
You're Gonna See A Lot Of Me,0,Hello
"Hello, My Darling",0,Hello
Let's Dream In The Moonlight,0,Hello
That's All I Ask Of You,0,Hello
Dream Of Life,0,Hello
What Shall I Say?,0,Hello
It's Easy To Blame The Weather,0,Hello
More Than You Know,0,Hello
Sugar (That Sugar Baby O' Mine),0,Hello
You're Too Lovely To Last,0,Hello
Under A Blue Jungle Moon,0,Hello
Everything Happens For The Best,0,Hello
Why Did I Always Depend On You?,0,Hello
Long Gone Blues,0,Hello
Some Other Spring,0,Hello
Our Love Is Different,0,Hello
other songs:,0,Hello
Ain't Nobody's Business If I Do,0,Hello
All Of Me,0,Hello
Am I Blue?,0,Hello
Big Stuff,0,Hello
Carelessly,0,Hello
Crazy He Calls Me,0,Hello
Deep Song,0,Hello
Don't Explain,0,Hello
Don't Know If I'm Comin' Or Goin',0,Hello
Easy Living,0,Hello
Fine And Mellow,0,Hello
Gloomy Sunday,0,Hello
Guilty,0,Hello
I Can't Believe That You're In Love With Me,0,Hello
I Can't Give You Anything But Love,0,Hello
I'll Be Seeing You,0,Hello
I'll Look Around,0,Hello
I'm Gonna Lock My Heart And Throw Away The Key,0,Hello
I've Got My Love To Keep Me Warm,0,Hello
"Lover Man (Oh, Where Can You Be?)",0,Hello
No More,0,Hello
P.S. I Love You,0,Hello
Pennies From Heaven,0,Hello
Sentimental And Melancholy,0,Hello
"That's Life, I Guess",0,Hello
The Man I Love,0,Hello
The Mood That I'm In,0,Hello
Them There Eyes,0,Hello
There Is No Greater Love,0,Hello
What Is This Thing Called Love?,0,Hello
When You're Smiling,0,Hello
Where Is The Sun?,0,Hello
Who Loves You?,0,Hello
Why Was I Born?,0,Hello
You Better Go Now,0,Hello
You're My Thrill,0,Hello
My Blue Heaven,0,Hello
The Fat Man,0,Hello
Please Don't Leave Me,0,Hello
Ain't It A Shame,0,Hello
I'm In Love Again,0,Hello
When My Dreamboat Comes Home,0,Hello
Blueberry Hill,0,Hello
Blue Monday,0,Hello
I'm Walkin',0,Hello
Valley Of Tears,0,Hello
The Big Beat,0,Hello
"Yes, My Darling",0,Hello
Whole Lotta Loving,0,Hello
I'm Ready,0,Hello
I'm Gonna Be A Wheel Someday,0,Hello
I Want To Walk You Home,0,Hello
Be My Guest,0,Hello
Walking To New Orleans,0,Hello
Let The Four Winds Blow,0,Hello
You made me cry,0,Hello
"when you said, ""goodbye""",0,Hello
Ain't that a shame?,0,Hello
my tears fell like rain.,0,Hello
Ain't that a shame?,0,Hello
you're the one to blame.,0,Hello
You broke my heart,0,Hello
when you said we'll part,0,Hello
Ain't that a shame?,0,Hello
my tears fell like rain.,0,Hello
Ain't that a shame?,0,Hello
you're the one to blame,0,Hello
"Oh well, goodbye",0,Hello
although I'll cry.,0,Hello
Ain't that a shame...,0,Hello
I found my thrill on Blueberry Hill,0,Hello
"On Blueberry Hill, when I found you",0,Hello
The moon stood still on Blueberry Hill,0,Hello
And lingered until my dreams came true,0,Hello
The wind in the willow played,0,Hello
Love's sweet melody,0,Hello
But all of those vows you made,0,Hello
Were never to be,0,Hello
"Though we're apart, you're part of me still",0,Hello
For you were my thrill on Blueberry Hill,0,Hello
The wind in the willow played,0,Hello
Love's sweet melody,0,Hello
But all of those vows we made,0,Hello
Were never to be,0,Hello
"Though we're apart, you're part of me still",0,Hello
For you were my thrill on Blueberry Hill,0,Hello
"Oh, say, can you see,",0,Hello
"By the dawn's early light,",0,Hello
What so proudly we hailed,0,Hello
At the twilight's last gleaming?,0,Hello
"Whose broad stripes and bright stars,",0,Hello
"Through the perilous fight,",0,Hello
"O'er the ramparts we watched,",0,Hello
Were so gallantly streaming?,0,Hello
"And the rockets' red glare,",0,Hello
"The bombs bursting in air,",0,Hello
Gave proof through the night,0,Hello
That our flag was still there.,0,Hello
"O say, does that star-spangled banner yet wave",0,Hello
O'er the land of the free and the home of the brave,0,Hello
'Bout Time,0,Hello
(I'll Be Glad When You're Dead) You Rascal You,0,Hello
(Oh) Didn't He Ramble,0,Hello
A Kiss To Build A Dream On,0,Hello
Ain't Misbehavin',0,Hello
Alexander's Ragtime Band,0,Hello
All Of Me,0,Hello
As Time Goes By (A Kiss Is Just A Kiss),0,Hello
Azalea,0,Hello
"Baby, It's Cold Outside",0,Hello
Back O' Town Blues,0,Hello
Basin Street Blues,0,Hello
Bessie Couldn't Help It,0,Hello
Bibbidi-Bobbidi-Boo,0,Hello
Bill Bailey,0,Hello
Black & Blue,0,Hello
Blue Again,0,Hello
Blue Skies,0,Hello
Blueberry Hill,0,Hello
Butter & Egg Man,0,Hello
C'est Si Bon,0,Hello
Cabaret,0,Hello
Cake Walking Babies From Home,0,Hello
Carry Me Back To Old Virginny,0,Hello
Cheek To Cheek,0,Hello
Chim Chim Cher-Ee,0,Hello
"Chinatown, My Chinatown",0,Hello
Christmas In New Orleans,0,Hello
Cool Yule,0,Hello
Dallas Blues,0,Hello
Didn't It Rain,0,Hello
Dippermouth Blues,0,Hello
Do Nothin' Till You Hear From Me,0,Hello
Do You Know What It Means To Miss New Orleans,0,Hello
Don't Get Around Much Anymore,0,Hello
Down By The Riverside,0,Hello
Dream A Little Dream Of Me,0,Hello
Duke's Place,0,Hello
Dummy Song,0,Hello
Everybody's Talkin' (Echoes),0,Hello
Ezekiel Saw The Wheel,0,Hello
"Fantastic, That's You",0,Hello
Georgia On My Mind,0,Hello
Give Me Your Kisses,0,Hello
Go Down Moses,0,Hello
Gone Fishin',0,Hello
Got A Bran' New Suit,0,Hello
Hello Brother,0,Hello
Hello Dolly,0,Hello
Hellzapoppin',0,Hello
Hesitating Blues,0,Hello
High Society Calypso,0,Hello
High Society Rag,0,Hello
Honeysuckle Rose,0,Hello
I Can't Give You Anything But Love,0,Hello
I Got It Bad (And That Ain't Good),0,Hello
I Guess I'll Get The Papers & Go Home,0,Hello
I Still Get Jealous,0,Hello
I'll See You In My Dreams,0,Hello
I'm Just A Lucky So And So,0,Hello
If I Could Be With You (One Hour Tonight),0,Hello
In A Mellow Tone,0,Hello
In The Shade Of The Old Apple Tree,0,Hello
Indiana,0,Hello
It Don't Mean A Thing (If It Ain't Got That Swing),0,Hello
"It's Been A Long, Long Time",0,Hello
Jeepers Creepers,0,Hello
Jonah And The Whale,0,Hello
Keepin' Out Of Mischief Now,0,Hello
La Vie En Rose,0,Hello
Last Night I Dreamed You Kissed Me,0,Hello
Lazy River,0,Hello
Lazybones,0,Hello
Lonesome Blues,0,Hello
Long Gone (From The Bowlin' Green),0,Hello
Lyin' To Myself,0,Hello
Mack The Knife,0,Hello
Mame,0,Hello
"Mandy, Make Up Your Mind",0,Hello
Mississippi Basin,0,Hello
Mood Indigo,0,Hello
Moon River,0,Hello
No More Christmas,0,Hello
Nobody Knows The Trouble I've Seen,0,Hello
Nobody Knows The Way I Feel This Morning,0,Hello
Old Man Mose,0,Hello
On My Way,0,Hello
On The Sunny Side Of The Street,0,Hello
Only You (And You Alone),0,Hello
Rock My Soul,0,Hello
Saint Louis Blues,0,Hello
Shadrack,0,Hello
"Sit Down, You're Rocking The Boat",0,Hello
Solitude,0,Hello
Sometimes I Feel Like A Motherless Child,0,Hello
St James Infirmary,0,Hello
Stardust,0,Hello
Summertime,0,Hello
Sunset Cafe Stomp,0,Hello
Sweet Georgia Brown,0,Hello
Sweet Lorraine,0,Hello
"Swing Low, Sweet Chariot",0,Hello
That Lucky Old Sun,0,Hello
That Old Feeling,0,Hello
That's My Desire,0,Hello
The Ballad Of Davy Crocket,0,Hello
The Bare Necessities,0,Hello
The Memphis Blues (Or Mister Crump),0,Hello
There Must Be A Way,0,Hello
This Train,0,Hello
Tin Roof Blues,0,Hello
Uncle Satchmo's Lullaby,0,Hello
Way Down Yonder In New Orleans,0,Hello
We Have All The Time In The World,0,Hello
